Place_Name,Google_Maps_Link
Taman Pintar Yogyakarta,"https://www.google.com/maps/place/Taman+Pintar+Yogyakarta/@-7.8006715,110.3676551,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57860f2fb9af:0xa9f6007074b62dd8!8m2!3d-7.8006715!4d110.3676551!16s%2Fm%2F0y6kq2z?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Keraton Yogyakarta,"https://www.google.com/maps/search/Keraton+Yogyakarta/@-7.8091125,110.3625054,15z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Sindu Kusuma Edupark (SKE),"https://www.google.com/maps/place/SKE+City+Park/@-7.7679241,110.3547164,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a584281200f8b:0xeed0884f4b2272a8!8m2!3d-7.7679241!4d110.3547164!16s%2Fg%2F11b6vc54pq?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Museum Benteng Vredeburg Yogyakarta,"https://www.google.com/maps/place/Vredeburg+Fort+Museum/@-7.800293,110.3661642,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5788c0b3eecf:0xb9611ce0232a9ff8!8m2!3d-7.800293!4d110.3661642!16zL20vMGJyZmY4?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
De Mata Museum Jogja,"https://www.google.com/maps/place/De+Mata+Trick+Eye+Museum/@-7.8163156,110.3871442,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a570cd99720e1:0x93c125605f67d153!8m2!3d-7.8163156!4d110.3871442!16s%2Fg%2F11b6gjh4bl?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Kampung Wisata Taman Sari,"https://www.google.com/maps/place/Taman+Sari/@-7.8099788,110.3589907,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5793d0c2cf2b:0x276a21f8a01cbe13!8m2!3d-7.8099788!4d110.3589907!16s%2Fm%2F0b6gg2m?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Situs Warungboto,"https://www.google.com/maps/place/Warungboto+Historical+Site/@-7.8101941,110.3932803,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a576dd45f6243:0x47c4825dd428cf01!8m2!3d-7.8101941!4d110.3932803!16s%2Fg%2F11h5rqc5md?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Nol Kilometer Jl.Malioboro,"https://www.google.com/maps/search/Nol+Kilometer+Jl.Malioboro/@-7.8020765,110.3649183,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Gembira Loka Zoo,"https://www.google.com/maps/search/Gembira+Loka+Zoo/@-7.8059922,110.3963155,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Sumur Gumuling,"https://www.google.com/maps/place/Sumur+Gumuling+-+the+underground+mosque+in+the+Water+Castle/@-7.8088303,110.3592126,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57250f35a095:0x94238e77dae33aa6!8m2!3d-7.8088303!4d110.3592126!16s%2Fg%2F11t31sjjyz?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Desa Wisata Sungai Code Jogja Kota,"https://www.google.com/maps/place/Desa+Wisata+Sungai+Code+Jogja+Kota/@-7.8229089,110.3756894,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57a8934200db:0xb78e33e22bb6ee86!8m2!3d-7.8229089!4d110.3756894!16s%2Fg%2F11h2gwpb96?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Alun Alun Selatan Yogyakarta,"https://www.google.com/maps/place/Alun-Alun+Kidul+St,+Patehan,+Kraton,+Yogyakarta+City,+Special+Region+of+Yogyakarta,+Indonesia/@-7.8124827,110.363103,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57912e3d2fcd:0x59edcb6ee00d38ce!8m2!3d-7.8124827!4d110.363103!16s%2Fg%2F11b6hx0dwj?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Monumen Yogya Kembali,"https://www.google.com/maps/place/Monumen+Yogya+Kembali/@-7.7495904,110.3696068,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a58f99013c989:0x2a96db25b8ff4333!8m2!3d-7.7495904!4d110.3696068!16s%2Fm%2F0gfgg53?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Taman Pelangi Yogyakarta,"https://www.google.com/maps/place/Taman+Pelangi+Jogja/@-7.7503027,110.3694988,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a58f975c66097:0x99331d342ee5862d!8m2!3d-7.7503027!4d110.3694988!16s%2Fg%2F11x7vl1rr?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Kampung Wisata Kadipaten,"https://www.google.com/maps/place/Tourism+Village+Duchy/@-7.8080091,110.3580298,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a578d8533ce31:0x20fed128d47c4cb5!8m2!3d-7.8080091!4d110.3580298!16s%2Fg%2F11b6dp13bq?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Taman Budaya Yogyakarta,"https://www.google.com/maps/search/Taman+Budaya+Yogyakarta/@-7.8000966,110.3675776,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Kampung Wisata Sosro Menduran,"https://www.google.com/maps/place/Kampung+Wisata+Sosromenduran/@-7.79219,110.362151,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5826be29978d:0xe41a56956d58b8c7!8m2!3d-7.79219!4d110.362151!16s%2Fg%2F1pzs29j25?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Monumen Batik Yogyakarta,"https://www.google.com/maps/place/Batik+Monument+Yogyakarta/@-7.8011159,110.3646172,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5788ccf98665:0x528f314a0e4136d4!8m2!3d-7.8011159!4d110.3646172!16s%2Fg%2F11bbx04r8z?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Tugu Pal Putih Jogja,"https://www.google.com/maps/place/Tugu+Yogyakarta+Monument/@-7.7829218,110.3670757,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a591a4d553bd5:0xc0f964003add568b!8m2!3d-7.7829218!4d110.3670757!16s%2Fg%2F122zk22q?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Tebing Breksi,"https://www.google.com/maps/search/Tebing+Breksi/@-7.7825393,110.5043484,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Candi Donotirto,"https://www.google.com/maps/place/Candi+Donotirto/@-7.7955613,110.3612095,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a58274e35ee89:0x353853e5497dcb7c!8m2!3d-7.7955613!4d110.3612095!16s%2Fg%2F11bx55_5pt?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Kawasan Malioboro,"https://www.google.com/maps/place/Tourism+Zone+Malioboro/@-7.7982482,110.3652779,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a578819c338f1:0x72aa3ad97ecccfb6!8m2!3d-7.7982482!4d110.3652779!16s%2Fg%2F11dd_kfc0g?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Bangsal Pagelaran,"https://www.google.com/maps/place/Bangsal+Pagelaran+(%EA%A6%A7%EA%A6%81%EA%A6%B1%EA%A6%AD%EA%A7%80%EA%A6%A5%EA%A6%92%EA%A6%BC%EA%A6%AD%EA%A6%82%EA%A6%AB%EA%A6%A4%EA%A7%80)/@-7.8052843,110.3642137,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57903fffffff:0x22c6107dbeda6ebc!8m2!3d-7.8052843!4d110.3642137!16s%2Fg%2F1pzs4250_?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Embung Tambakboyo,"https://www.google.com/maps/place/Embung+Tambakboyo/@-7.756227,110.4150131,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a598356dbaf65:0xd1c1d58cb1d42109!8m2!3d-7.756227!4d110.4150131!16s%2Fg%2F11b5v4m_zd?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Hutan Pinus Pengger,"https://www.google.com/maps/search/Hutan+Pinus+Pengger/@-7.8981784,110.4451765,13z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Monumen Serangan Umum 1 Maret,"https://www.google.com/maps/place/General+Offensive+of+1+March+1949+Monument/@-7.8010452,110.3652268,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5788b5ba6d3b:0x6722b1744aec3f53!8m2!3d-7.8010452!4d110.3652268!16s%2Fg%2F1pzwsh_3l?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Puncak Pinus Becici,"https://www.google.com/maps/place/Becici+Peak/@-7.9020355,110.4374627,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a531aaaaaaaab:0x6c28149b91ea59f4!8m2!3d-7.9020355!4d110.4374627!16s%2Fg%2F11h2g21vfv?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Bukit Bintang Yogyakarta,"https://www.google.com/maps/place/Bukit+Bintang/@-7.8458407,110.4798457,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a51a418acd7d3:0xfb055b6604992f0a!8m2!3d-7.8458407!4d110.4798457!16s%2Fg%2F1pv61n1m9?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Gedung Agung Yogyakarta,"https://www.google.com/maps/place/Gedung+Agung+Yogyakarta/@-7.8001885,110.363877,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5788bb4f4201:0xad1d99f62f5227c!8m2!3d-7.8001885!4d110.363877!16s%2Fm%2F0115n07m?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
The Lost World Castle,"https://www.google.com/maps/place/The+Lost+World+Castle/@-7.6041648,110.4510042,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5d9bed435109:0x284f5fe8b2b683c9!8m2!3d-7.6041648!4d110.4510042!16s%2Fg%2F11gy24lssq?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Monumen Sanapati,"https://www.google.com/maps/place/Sanapati+Monument/@-7.7881728,110.3715403,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a582e8911b189:0xb6db6161fea85fbf!8m2!3d-7.7881728!4d110.3715403!16s%2Fg%2F11bbyn4wcl?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Jurang Tembelan Kanigoro,"https://www.google.com/maps/place/Jurang+Tembelan+Kanigoro/@-7.9399945,110.4298378,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a535efa9f6961:0xd94caa6b36062e9f!8m2!3d-7.9399945!4d110.4298378!16s%2Fg%2F11ddwymrn8?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
The World Landmarks - Merapi Park Yogyakarta,"https://www.google.com/maps/place/Merapi+Park+Yogyakarta/@-7.6209046,110.4216275,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a60adba455a61:0xf555018e07c5177a!8m2!3d-7.6209046!4d110.4216275!16s%2Fg%2F11gy3k_xsg?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Museum Sonobudoyo Unit I,"https://www.google.com/maps/place/Museum+Sonobudoyo+Unit+I/@-7.8023333,110.3639441,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a578f83070a4f:0x9d10431ac43ec5ee!8m2!3d-7.8023333!4d110.3639441!16s%2Fg%2F11h1v81d_?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Lava Bantal,"https://www.google.com/maps/place/Lava+Bantal/@-7.8081518,110.4595183,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a51b96c72a851:0xf454bd5877f00a2e!8m2!3d-7.8081518!4d110.4595183!16s%2Fg%2F11hz7gx4fw?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Bukit Panguk Kediwung,"https://www.google.com/maps/place/Bukit+Panguk+Kediwung/@-7.9583695,110.4407622,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bacb24995d023:0x95aec26c5e9774a2!8m2!3d-7.9583695!4d110.4407622!16s%2Fg%2F11c44q7bf_?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Candi Prambanan,"https://www.google.com/maps/place/Prambanan+Temple/@-7.7520206,110.4914674,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5ae3dbd859d1:0x19e7a03b25955a2d!8m2!3d-7.7520206!4d110.4914674!16zL20vMDJzMF80?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Watu Goyang,"https://www.google.com/maps/place/Watu+Goyang/@-7.9274086,110.4120586,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a548fd0091f07:0xf2e5878e2fc74574!8m2!3d-7.9274086!4d110.4120586!16s%2Fg%2F11c31tj_lg?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Kampung Wisata Rejowinangun,"https://www.google.com/maps/place/Kampung+Wisata+Rejowinangun/@-7.8152776,110.3988359,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a576c91b42bc9:0x3d6b43545f6606be!8m2!3d-7.8152776!4d110.3988359!16s%2Fg%2F11d_2bd91y?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Kauman Pakualaman Yogyakarta,"https://www.google.com/maps/place/Pakualaman,+Yogyakarta+City,+Special+Region+of+Yogyakarta,+Indonesia/@-7.8005461,110.3751705,16z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57817c294bf9:0xb45ad934dbbb09c3!8m2!3d-7.799499!4d110.3740754!16s%2Fg%2F12125cqz?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Alun-alun Utara Keraton Yogyakarta,"https://www.google.com/maps/place/Alun-Alun+Utara+St,+Yogyakarta+City,+Special+Region+of+Yogyakarta,+Indonesia/@-7.8040626,110.3633579,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a578e4e8663e5:0xc262b4d9530b91de!8m2!3d-7.8040626!4d110.3633579!16s%2Fg%2F11b6hsyshd?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Pantai Goa Cemara,"https://www.google.com/maps/place/Goa+Cemara+Beach/@-7.999423,110.248963,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7b019a9d466d4d:0x120dd2ab8dbce03b!8m2!3d-7.999423!4d110.248963!16s%2Fg%2F11c5_cls0x?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Blue Lagoon Jogja,"https://www.google.com/maps/place/Blue+Lagoon+Jogja/@-7.7028328,110.4491103,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5c75eba9da15:0xd4d6063b3b163462!8m2!3d-7.7028328!4d110.4491103!16s%2Fg%2F11b6vhjqrb?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Gumuk Pasir Parangkusumo,"https://www.google.com/maps/place/Gumuk+Pasir+Parangkusumo/@-8.01845,110.3195509,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7b009013455d2f:0x22e1771beec2dd40!8m2!3d-8.01845!4d110.3195509!16s%2Fg%2F11clt8fcsz?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Bukit Lintang Sewu,"https://www.google.com/maps/place/Bukit+Lintang+Sewu/@-7.9157997,110.4366436,17z/data=!4m9!3m8!1s0x2e7a53828cd3eced:0x87a0debce17a6da7!5m2!4m1!1i2!8m2!3d-7.9157997!4d110.4366436!16s%2Fg%2F11cp91tmrq?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Studio Alam Gamplong,"https://www.google.com/maps/place/Gamplong+Studio+Alam/@-7.8057936,110.2367304,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7af9ff6dd01d45:0x43db2ec637a30b5d!8m2!3d-7.8057936!4d110.2367304!16s%2Fg%2F11b7_1sr2h?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Watu Lumbung,"https://www.google.com/maps/search/Watu+Lumbung/@-8.1860204,110.700279,14z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Air Terjun Kedung Pedut,"https://www.google.com/maps/place/Kedung+Pedut+Waterfall/@-7.7699875,110.1210707,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aefcb98e324b9:0x417b7b093fdf367f!8m2!3d-7.7699875!4d110.1210707!16s%2Fg%2F11clgcfjzw?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Puncak Kebun Buah Mangunan,"https://www.google.com/maps/place/Kebun+Buah+Mangunan/@-7.9413718,110.4247345,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5366aaaaaaab:0x11765ecd87201338!8m2!3d-7.9413718!4d110.4247345!16s%2Fg%2F11dyxbkz1w?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Desa Wisata Gamplong,"https://www.google.com/maps/place/Desa+Wisata+Gamplong/@-7.809838,110.234748,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afb0070fa1635:0x56ea0924915b9a10!8m2!3d-7.809838!4d110.234748!16s%2Fg%2F11y5jpptqq?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Kawasan Wisata Sosrowijayan,"https://www.google.com/maps/place/Kawasan+wisata+Sosrowijayan/@-7.7916235,110.361956,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5826a47f080b:0xdb58b86128b08e29!8m2!3d-7.7916235!4d110.361956!16s%2Fg%2F11bzwm4vjh?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Grojogan Watu Purbo Bangunrejo,"https://www.google.com/maps/place/Grojogan+Watu+Purbo/@-7.6307204,110.3407695,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a61a211fa698d:0x1582552d652e1c6f!8m2!3d-7.6307204!4d110.3407695!16s%2Fg%2F11gj73df0s?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Wisata Alam Kalibiru,"https://www.google.com/maps/place/Wisata+Kalibiru/@-7.8074219,110.1292682,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aeff7861e0b91:0x5604e4ced3f4227e!8m2!3d-7.8074219!4d110.1292682!16s%2Fg%2F11b7jz25fr?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Jogja Exotarium,"https://www.google.com/maps/search/Jogja+Exotarium/@-7.7294047,110.3590976,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Puncak Gunung Api Purba - Nglanggeran,"https://www.google.com/maps/search/Puncak+Gunung+Api+Purba+-+Nglanggeran/@-7.8405554,110.545,14z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Bendung Lepen,"https://www.google.com/maps/place/Bendhung+Lepen/@-7.8312214,110.3941377,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a575796e0e4d5:0x65bc00150955aeab!8m2!3d-7.8312214!4d110.3941377!16s%2Fg%2F11fks916ng?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Bunker Kaliadem Merapi,"https://www.google.com/maps/place/Bunker+Kaliadem+Merapi/@-7.5828014,110.4476823,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a66afbed3ead3:0x400208ebbdc0d806!8m2!3d-7.5828014!4d110.4476823!16s%2Fg%2F11bxc7kbbn?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Ledok Sambi,"https://www.google.com/maps/place/Ledok+Sambi+Ecopark/@-7.64745,110.4281736,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5de21c5696bb:0x1c946f8d6d01946!8m2!3d-7.64745!4d110.4281736!16s%2Fg%2F1ptyk0y39?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Seribu Batu Songgo Langit,"https://www.google.com/maps/search/Seribu+Batu+Songgo+Langit/@-7.9279084,110.4317092,16z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Goa Jomblang,"https://www.google.com/maps/place/Jomblang+Cave/@-8.028688,110.6383381,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bb41fce34d717:0xf9ffcb6f9fbd5cce!8m2!3d-8.028688!4d110.6383381!16s%2Fg%2F11b6nqqqkj?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Desa Wisata Rumah Domes/Teletubbies,"https://www.google.com/maps/place/Desa+Wisata+Rumah+Domes/@-7.8136085,110.5033442,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a500813c2e48d:0x81849ab09120be2b!8m2!3d-7.8136085!4d110.5033442!16s%2Fg%2F11bc7rxvv2?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
